Order_ID,Order_Date,Year,Month,Quarter,Customer_ID,Age,Gender,City,Region,Product,Category,Quantity,Unit_Price,Discount_%,Cost_Price,Payment_Method,Revenue,Profit,Profit_Margin,Month_Name,Day,Weekday,Order_Value,Profit_Margin_%,Customer_Lifetime_Value
ORD_18,2023-07-07,2023,7,3,CUST_549,18,Male,Delhi,North,Sofa,Home & Kitchen,1,20275.35,0.06,14091.97,Credit Card,25348.24,11256.27,0.44,July,7,Friday,25348.24,44.40651500853708,619398.6
ORD_19,2020-03-08,2020,3,1,CUST_645,39,Male,Hyderabad,South,Wallet,Accessories,3,2486.3,0.02,1757.0,Debit Card,6213.26,942.26,0.15,March,8,Sunday,6213.26,15.165307745048493,64528.560000000005
ORD_20,2022-09-04,2022,9,3,CUST_940,24,Female,Bangalore,South,Cooking Oil,Grocery,1,1879.79,0.07,1335.18,UPI,2294.52,959.34,0.42,September,4,Sunday,2294.52,41.81005177553476,37469.33
ORD_21,2020-06-26,2020,6,2,CUST_1150,32,Female,Chennai,South,Jeans,Fashion,1,2824.86,0.02,1734.37,Debit Card,2029.56,295.19,0.15,June,26,Friday,2029.56,14.544531819704765,50217.520000000004
ORD_22,2023-03-10,2023,3,1,CUST_1196,39,Female,Kolkata,East,Sunglasses,Accessories,4,3619.31,0.04,2653.55,Debit Card,19457.41,8843.21,0.45,March,10,Friday,19457.41,45.449060280890414,510450.7
ORD_23,2021-01-11,2021,1,1,CUST_1044,41,Male,Ahmedabad,West,Jeans,Fashion,1,2175.27,0.07,1306.81,UPI,2447.83,1141.02,0.47,January,11,Monday,2447.83,46.61353116842265,9725.369999999999
ORD_24,2019-07-06,2019,7,3,CUST_314,28,Male,Bangalore,South,Laptop,Electronics,1,58413.44,0.05,36614.91,UPI,52718.13,16103.22,0.31,July,6,Saturday,52718.13,30.54588620650998,259727.15
ORD_25,2023-06-11,2023,6,2,CUST_131,46,Male,Kolkata,East,Snacks,Grocery,2,1309.03,0.02,976.47,UPI,4130.78,2177.84,0.53,June,11,Sunday,4130.78,52.72224616174186,516947.04
ORD_26,2021-02-20,2021,2,1,CUST_1084,50,Male,Chennai,South,Sunglasses,Accessories,4,2434.54,0.09,1544.78,Credit Card,8773.11,2593.99,0.3,February,20,Saturday,8773.11,29.56750798747536,230446.49999999997
ORD_27,2022-02-07,2022,2,1,CUST_1100,61,Male,Chennai,South,Laptop,Electronics,2,25967.03,0.04,15640.42,COD,56088.78,24807.94,0.44,February,7,Monday,56088.78,44.229772870795195,127649.45
ORD_28,2023-04-24,2023,4,2,CUST_602,45,Male,Kolkata,East,Mixer,Home & Kitchen,3,10242.35,0.03,6890.97,UPI,41727.33,21054.42,0.5,April,24,Monday,41727.33,50.45714643136764,63687.93
ORD_29,2019-11-20,2019,11,4,CUST_540,34,Male,Bangalore,South,Rice,Grocery,2,1268.51,0.15,817.29,UPI,2695.58,1061.0,0.39,November,20,Wednesday,2695.58,39.3607312711921,189319.82
ORD_30,2021-11-05,2021,11,4,CUST_1040,36,Female,Hyderabad,South,Headphones,Electronics,3,65702.09,0.22,40225.39,UPI,211396.47,90720.3,0.43,November,5,Friday,211396.47,42.91476579528504,937149.7000000001
ORD_31,2019-11-10,2019,11,4,CUST_1105,64,Female,Mumbai,West,Microwave,Home & Kitchen,3,22360.13,0.22,14886.73,Credit Card,65403.38,20743.19,0.32,November,10,Sunday,65403.38,31.715776768723575,151289.76
ORD_32,2022-05-11,2022,5,2,CUST_40,36,Male,Delhi,North,Sofa,Home & Kitchen,1,21649.71,0.0,15661.19,UPI,28415.24,12754.05,0.45,May,11,Wednesday,28415.24,44.884540830906225,139182.87
ORD_33,2021-01-13,2021,1,1,CUST_119,20,Female,Hyderabad,South,Microwave,Home & Kitchen,4,15949.37,0.08,10034.66,Credit Card,71019.35,30880.71,0.43,January,13,Wednesday,71019.35,43.48210734116828,131818.99000000002
ORD_34,2023-12-04,2023,12,4,CUST_176,24,Male,Ahmedabad,West,Backpack,Accessories,3,2944.0,0.08,1886.0,Credit Card,13650.74,7992.74,0.59,December,4,Monday,13650.74,58.55169756364857,474243.32
ORD_35,2023-07-30,2023,7,3,CUST_263,57,Female,Ahmedabad,West,Smartphone,Electronics,1,56637.49,0.02,35311.52,UPI,73821.3,38509.78,0.52,July,30,Sunday,73821.3,52.166217609280785,154146.21
ORD_36,2022-01-30,2022,1,1,CUST_1081,21,Male,Kolkata,East,Shoes,Fashion,4,2825.13,0.06,1954.31,Credit Card,14605.92,6788.68,0.46,January,30,Sunday,14605.92,46.47896195515243,243763.36
ORD_37,2020-03-09,2020,3,1,CUST_412,19,Male,Chennai,South,Wallet,Accessories,1,470.21,0.03,351.21,UPI,387.69,36.48,0.09,March,9,Monday,387.69,9.409579818927492,375549.94
ORD_38,2021-03-28,2021,3,1,CUST_1060,28,Female,Ahmedabad,West,Sofa,Home & Kitchen,2,10564.11,0.09,7743.51,UPI,21149.35,5662.33,0.27,March,28,Sunday,21149.35,26.77306867586947,253018.19999999998
ORD_39,2019-09-05,2019,9,3,CUST_132,29,Female,Pune,West,Jeans,Fashion,4,3271.33,0.06,1975.81,Credit Card,12915.21,5011.97,0.39,September,5,Thursday,12915.21,38.80672478418857,35656.89
ORD_40,2019-02-13,2019,2,1,CUST_472,48,Male,Hyderabad,South,Wallet,Accessories,3,1995.54,0.08,1384.69,Debit Card,4956.92,802.85,0.16,February,13,Wednesday,4956.92,16.19654947023555,210929.5
ORD_41,2019-01-15,2019,1,1,CUST_469,39,Female,Delhi,North,Laptop,Electronics,1,54179.2,0.08,32696.65,Debit Card,54829.35,22132.7,0.4,January,15,Tuesday,54829.35,40.36651902676213,327557.0
ORD_42,2019-03-06,2019,3,1,CUST_1053,52,Male,Hyderabad,South,Mixer,Home & Kitchen,4,22059.33,0.04,16437.22,Credit Card,84707.83,18958.95,0.22,March,6,Wednesday,84707.83,22.381579129107664,672166.63
ORD_43,2020-07-24,2020,7,3,CUST_1105,42,Male,Bangalore,South,Rice,Grocery,3,806.83,0.06,589.04,Credit Card,1377.95,-389.17,-0.28,July,24,Friday,1377.95,-28.242679342501543,151289.76
ORD_44,2023-01-21,2023,1,1,CUST_969,20,Female,Hyderabad,South,Wallet,Accessories,1,1697.6,0.05,1229.01,UPI,2483.59,1254.58,0.51,January,21,Saturday,2483.59,50.51477900941781,211713.12
ORD_45,2023-05-26,2023,5,2,CUST_390,40,Female,Delhi,North,Cooking Oil,Grocery,3,273.44,0.1,191.82,Credit Card,1085.28,509.82,0.47,May,26,Friday,1085.28,46.97589562140646,73876.48
ORD_46,2019-07-18,2019,7,3,CUST_868,19,Female,Kolkata,East,Cooking Oil,Grocery,1,504.18,0.08,362.22,UPI,440.65,78.43,0.18,July,18,Thursday,440.65,17.79870645637127,154174.09
ORD_47,2021-08-14,2021,8,3,CUST_125,21,Female,Kolkata,East,Laptop,Electronics,3,45943.68,0.01,28551.64,Debit Card,150098.0,64443.08,0.43,August,14,Saturday,150098.0,42.93400311796293,193965.96
ORD_48,2023-01-31,2023,1,1,CUST_510,28,Female,Hyderabad,South,Mixer,Home & Kitchen,2,2746.31,0.09,1708.18,Credit Card,7697.36,4281.0,0.56,January,31,Tuesday,7697.36,55.61647110178035,500890.12
ORD_49,2020-01-25,2020,1,1,CUST_288,31,Male,Kolkata,East,Sunglasses,Accessories,1,3804.82,0.06,2482.77,Debit Card,3344.06,861.29,0.26,January,25,Saturday,3344.06,25.755817778389144,345764.82
ORD_50,2020-01-11,2020,1,1,CUST_512,48,Female,Delhi,North,Sofa,Home & Kitchen,1,11426.84,0.0,7659.4,UPI,10684.1,3024.7,0.28,January,11,Saturday,10684.1,28.310292865098603,363305.11999999994
ORD_51,2021-06-26,2021,6,2,CUST_104,40,Female,Mumbai,West,Backpack,Accessories,2,2458.46,0.04,1651.24,UPI,5971.11,2668.63,0.45,June,26,Saturday,5971.11,44.692360381905544,120668.3
ORD_52,2019-07-11,2019,7,3,CUST_833,52,Male,Ahmedabad,West,Jeans,Fashion,3,3002.02,0.09,2038.84,COD,7785.74,1669.22,0.21,July,11,Thursday,7785.74,21.439452126580132,213390.56999999998
ORD_53,2021-09-12,2021,9,3,CUST_121,32,Female,Bangalore,South,Jacket,Fashion,2,3332.29,0.03,2497.13,Credit Card,7466.66,2472.4,0.33,September,12,Sunday,7466.66,33.11252956475854,145674.66
ORD_54,2021-02-15,2021,2,1,CUST_544,45,Male,Ahmedabad,West,Smartwatch,Electronics,4,71769.78,0.01,46675.41,UPI,281366.25,94664.61,0.34,February,15,Monday,281366.25,33.644621556423346,658101.53
ORD_55,2020-08-07,2020,8,3,CUST_1139,29,Male,Ahmedabad,West,Snacks,Grocery,4,1951.35,0.05,1180.27,UPI,4727.15,6.07,0.0,August,7,Friday,4727.15,0.12840717980178334,354382.43
ORD_56,2019-11-14,2019,11,4,CUST_446,23,Male,Mumbai,West,Shoes,Fashion,2,842.9,0.25,583.3,Credit Card,1580.44,413.84,0.26,November,14,Thursday,1580.44,26.18511300650452,193071.08000000002
ORD_57,2022-04-01,2022,4,2,CUST_643,41,Female,Mumbai,West,Backpack,Accessories,2,3177.13,0.1,1977.96,Credit Card,7148.54,3192.62,0.45,April,1,Friday,7148.54,44.66114759097662,260548.57
ORD_58,2019-04-13,2019,4,2,CUST_1030,40,Female,Bangalore,South,Sunglasses,Accessories,3,2034.16,0.01,1224.67,UPI,6041.46,2367.45,0.39,April,13,Saturday,6041.46,39.18671976641407,480755.29000000004
ORD_59,2019-04-27,2019,4,2,CUST_381,50,Female,Delhi,North,Backpack,Accessories,1,2465.05,0.09,1793.19,UPI,2243.2,450.01,0.2,April,27,Saturday,2243.2,20.061073466476465,422968.8
ORD_60,2022-05-03,2022,5,2,CUST_827,41,Male,Delhi,North,Smartphone,Electronics,1,22148.21,0.08,13444.73,UPI,26743.96,13299.23,0.5,May,3,Tuesday,26743.96,49.727975961675085,275165.24
ORD_61,2023-12-29,2023,12,4,CUST_1186,40,Female,Mumbai,West,Backpack,Accessories,4,3320.63,0.06,2429.03,Credit Card,20975.76,11259.64,0.54,December,29,Friday,20975.76,53.6792945762156,237194.25
ORD_62,2022-06-22,2022,6,2,CUST_1196,28,Male,Pune,West,Smartwatch,Electronics,4,72736.33,0.0,47466.87,Credit Card,418233.9,228366.42,0.55,June,22,Wednesday,418233.9,54.60256091148996,510450.7
ORD_63,2020-06-18,2020,6,2,CUST_489,36,Male,Chennai,South,Shoes,Fashion,2,4597.12,0.06,3352.93,COD,6336.1,-369.76,-0.06,June,18,Thursday,6336.1,-5.835766480958317,52541.36
ORD_64,2021-03-21,2021,3,1,CUST_937,20,Male,Pune,West,Shoes,Fashion,2,706.38,0.05,458.66,Credit Card,1476.33,559.01,0.38,March,21,Sunday,1476.33,37.86484051668665,329697.66
ORD_65,2023-03-20,2023,3,1,CUST_939,27,Female,Delhi,North,Laptop,Electronics,4,15412.04,0.02,10857.4,Credit Card,84581.28,41151.68,0.49,March,20,Monday,84581.28,48.6534136158734,654113.19
ORD_66,2019-05-31,2019,5,2,CUST_1037,27,Male,Chennai,South,Backpack,Accessories,2,1576.81,0.02,967.07,UPI,3245.07,1310.93,0.4,May,31,Friday,3245.07,40.39758772538035,152150.08000000002
ORD_67,2019-09-29,2019,9,3,CUST_501,45,Female,Pune,West,Mixer,Home & Kitchen,3,3214.97,0.06,1968.41,Debit Card,9519.53,3614.3,0.38,September,29,Sunday,9519.53,37.96721056606786,800217.19
ORD_68,2020-08-06,2020,8,3,CUST_1113,49,Male,Chennai,South,Jacket,Fashion,3,1330.34,0.05,982.6,UPI,2417.06,-530.74,-0.22,August,6,Thursday,2417.06,-21.958081305387537,374607.41000000003
ORD_69,2022-06-06,2022,6,2,CUST_1136,27,Male,Chennai,South,Backpack,Accessories,3,846.63,0.07,621.66,Credit Card,3395.52,1530.54,0.45,June,6,Monday,3395.52,45.075275657336725,43161.509999999995
ORD_70,2022-09-20,2022,9,3,CUST_542,36,Female,Delhi,North,Smartphone,Electronics,1,25193.24,0.02,17247.16,Debit Card,32404.8,15157.64,0.47,September,20,Tuesday,32404.8,46.775909741766654,300826.83
ORD_71,2023-12-28,2023,12,4,CUST_558,43,Male,Chennai,South,Smartphone,Electronics,1,64187.84,0.05,44137.48,Debit Card,102443.79,58306.31,0.57,December,28,Thursday,102443.79,56.91541673731517,213499.4
ORD_72,2022-05-23,2022,5,2,CUST_417,31,Male,Chennai,South,Shoes,Fashion,4,2018.51,0.06,1383.92,UPI,9961.35,4425.67,0.44,May,23,Monday,9961.35,44.42841582717202,59335.740000000005
ORD_73,2021-11-01,2021,11,4,CUST_105,34,Male,Delhi,North,Cooking Oil,Grocery,3,390.43,0.27,239.41,Debit Card,1175.68,457.45,0.39,November,1,Monday,1175.68,38.909397114861186,198820.05
ORD_74,2022-07-23,2022,7,3,CUST_91,31,Female,Mumbai,West,Cooking Oil,Grocery,3,1966.52,0.09,1349.82,COD,6375.21,2325.75,0.36,July,23,Saturday,6375.21,36.48115120913664,381677.11
ORD_75,2020-11-14,2020,11,4,CUST_331,23,Female,Ahmedabad,West,Shoes,Fashion,2,4193.88,0.21,2692.46,Debit Card,7040.48,1655.56,0.24,November,14,Saturday,7040.48,23.5148739858646,436046.27
ORD_76,2022-02-03,2022,2,1,CUST_20,48,Male,Delhi,North,Snacks,Grocery,1,1106.7,0.06,711.93,Credit Card,1170.34,458.41,0.39,February,3,Thursday,1170.34,39.16895944768187,203415.21
ORD_77,2019-06-04,2019,6,2,CUST_757,36,Female,Bangalore,South,T-shirt,Fashion,1,2544.21,0.01,1904.33,UPI,2896.58,992.25,0.34,June,4,Tuesday,2896.58,34.255915597014415,24253.260000000002
ORD_78,2021-05-30,2021,5,2,CUST_632,49,Female,Pune,West,T-shirt,Fashion,4,3180.37,0.06,2287.14,UPI,13811.71,4663.15,0.34,May,30,Sunday,13811.71,33.762293010785775,531909.85
ORD_79,2023-06-19,2023,6,2,CUST_431,46,Female,Hyderabad,South,Headphones,Electronics,3,18592.48,0.09,13167.93,UPI,81719.53,42215.74,0.52,June,19,Monday,81719.53,51.659303473722865,342248.49
ORD_80,2022-09-27,2022,9,3,CUST_1147,34,Female,Kolkata,East,Headphones,Electronics,1,66884.95,0.08,46804.72,Credit Card,80763.58,33958.86,0.42,September,27,Tuesday,80763.58,42.04724456246244,90224.51000000001
ORD_81,2022-06-25,2022,6,2,CUST_333,50,Male,Bangalore,South,Jeans,Fashion,2,2476.11,0.09,1717.47,Credit Card,6478.12,3043.18,0.47,June,25,Saturday,6478.12,46.97628324266917,170512.96
ORD_82,2023-12-11,2023,12,4,CUST_368,38,Male,Pune,West,Rice,Grocery,4,1132.75,0.02,771.89,Credit Card,7459.84,4372.28,0.59,December,11,Monday,7459.84,58.610908544955386,33535.350000000006
ORD_83,2023-05-22,2023,5,2,CUST_509,34,Female,Chennai,South,Snacks,Grocery,1,1769.4,0.05,1298.89,Debit Card,2470.97,1172.08,0.47,May,22,Monday,2470.97,47.43400365038831,13439.9
ORD_84,2019-11-23,2019,11,4,CUST_80,48,Male,Ahmedabad,West,Smartwatch,Electronics,2,7514.93,0.2,5359.61,UPI,15029.86,4310.64,0.29,November,23,Saturday,15029.86,28.680506671386162,199623.13
ORD_85,2020-03-31,2020,3,1,CUST_717,28,Male,Chennai,South,Jacket,Fashion,1,2929.37,0.02,2074.98,Debit Card,2440.17,365.19,0.15,March,31,Tuesday,2440.17,14.965760582254514,92595.98000000001
ORD_86,2023-08-08,2023,8,3,CUST_49,49,Male,Hyderabad,South,Jeans,Fashion,3,2055.63,0.1,1338.99,UPI,7770.28,3753.31,0.48,August,8,Tuesday,7770.28,48.30340734182037,219075.97999999998
ORD_87,2021-03-27,2021,3,1,CUST_143,45,Female,Chennai,South,Cookware Set,Home & Kitchen,4,21930.97,0.01,16180.95,Debit Card,95531.31,30807.51,0.32,March,27,Saturday,95531.31,32.248599961625146,150113.94
ORD_88,2020-12-20,2020,12,4,CUST_1099,40,Male,Pune,West,Sunglasses,Accessories,1,1869.28,0.01,1357.22,COD,1887.6,530.38,0.28,December,20,Sunday,1887.6,28.098114007204916,45869.29
ORD_89,2019-02-26,2019,2,1,CUST_366,34,Female,Chennai,South,Headphones,Electronics,3,74063.14,0.03,46964.13,Credit Card,193971.36,53078.97,0.27,February,26,Tuesday,193971.36,27.36433357996769,345063.82999999996
ORD_90,2019-03-20,2019,3,1,CUST_708,37,Male,Pune,West,Smartwatch,Electronics,3,50279.11,0.04,34220.43,COD,144803.84,42142.55,0.29,March,20,Wednesday,144803.84,29.103199196927378,371325.92
ORD_91,2021-06-12,2021,6,2,CUST_237,31,Female,Kolkata,East,Wallet,Accessories,4,1131.04,0.09,720.74,Credit Card,5207.99,2325.03,0.45,June,12,Saturday,5207.99,44.64351890076594,97656.98999999999
ORD_92,2022-03-26,2022,3,1,CUST_91,34,Male,Kolkata,East,Shoes,Fashion,2,1749.14,0.0,1223.58,UPI,4372.85,1925.69,0.44,March,26,Saturday,4372.85,44.03741267136993,381677.11
ORD_93,2019-01-04,2019,1,1,CUST_404,33,Male,Pune,West,Wallet,Accessories,1,3988.43,0.03,2578.48,UPI,4255.65,1677.17,0.39,January,4,Friday,4255.65,39.410430839002274,24186.489999999998
ORD_94,2021-06-02,2021,6,2,CUST_643,27,Male,Delhi,North,Headphones,Electronics,2,7741.23,0.08,5326.88,UPI,18018.49,7364.73,0.41,June,2,Wednesday,18018.49,40.873180827028236,260548.57
ORD_95,2023-01-14,2023,1,1,CUST_837,28,Male,Pune,West,Cookware Set,Home & Kitchen,3,14431.37,0.01,9382.62,UPI,66006.2,37858.34,0.57,January,14,Saturday,66006.2,57.35573324930082,83121.75
ORD_96,2021-04-04,2021,4,2,CUST_393,33,Female,Kolkata,East,Microwave,Home & Kitchen,2,4747.66,0.09,3139.14,Credit Card,9504.82,3226.54,0.34,April,4,Sunday,9504.82,33.94635563850762,33508.36
ORD_97,2022-09-23,2022,9,3,CUST_357,43,Female,Chennai,South,Snacks,Grocery,1,744.62,0.02,519.68,UPI,957.77,438.09,0.46,September,23,Friday,957.77,45.74062666402163,557411.77
ORD_98,2021-04-11,2021,4,2,CUST_623,45,Female,Chennai,South,Backpack,Accessories,4,3861.8,0.07,2435.82,UPI,15802.49,6059.21,0.38,April,11,Sunday,15802.49,38.34338765599598,179370.78999999998
ORD_99,2020-03-06,2020,3,1,CUST_660,30,Male,Ahmedabad,West,Snacks,Grocery,3,333.28,0.06,221.04,Debit Card,798.87,135.75,0.17,March,6,Friday,798.87,16.992752262570882,83796.46
ORD_100,2021-06-23,2021,6,2,CUST_438,27,Female,Ahmedabad,West,Snacks,Grocery,4,1221.56,0.08,796.19,Debit Card,5686.61,2501.85,0.44,June,23,Wednesday,5686.61,43.99545599223439,94711.79000000001
ORD_101,2023-06-14,2023,6,2,CUST_582,27,Male,Pune,West,T-shirt,Fashion,1,4008.91,0.09,2698.46,Debit Card,5873.45,3174.99,0.54,June,14,Wednesday,5873.45,54.05664473180158,235529.11
ORD_102,2019-07-11,2019,7,3,CUST_461,19,Female,Hyderabad,South,Shoes,Fashion,3,3350.65,0.02,2334.59,Credit Card,9358.37,2354.6,0.25,July,11,Thursday,9358.37,25.160364465179295,35334.21
ORD_103,2019-10-29,2019,10,4,CUST_502,21,Male,Ahmedabad,West,Laptop,Electronics,4,13831.33,0.11,9139.57,Credit Card,64011.4,27453.12,0.43,October,29,Tuesday,64011.4,42.88786059983065,141574.35
ORD_104,2022-06-05,2022,6,2,CUST_849,26,Male,Hyderabad,South,Smartwatch,Electronics,3,24987.38,0.06,17243.23,Credit Card,101292.59,49562.9,0.49,June,5,Sunday,101292.59,48.93043015288681,188792.81
ORD_105,2023-01-11,2023,1,1,CUST_819,30,Female,Hyderabad,South,Cooking Oil,Grocery,4,189.24,0.1,118.78,UPI,1049.15,574.03,0.55,January,11,Wednesday,1049.15,54.713815946242185,98928.5
ORD_106,2019-10-30,2019,10,4,CUST_871,22,Male,Hyderabad,South,Laptop,Electronics,4,59114.96,0.2,41353.91,COD,245918.23,80502.59,0.33,October,30,Wednesday,245918.23,32.73551131203246,754485.13
ORD_107,2019-12-27,2019,12,4,CUST_103,18,Female,Hyderabad,South,Sunglasses,Accessories,3,2501.79,0.08,1859.54,UPI,8285.93,2707.31,0.33,December,27,Friday,8285.93,32.67358039471731,97975.95999999999
ORD_108,2023-10-04,2023,10,4,CUST_274,49,Male,Ahmedabad,West,Smartwatch,Electronics,3,42161.85,0.19,25777.33,UPI,186465.0,109133.01,0.59,October,4,Wednesday,186465.0,58.5273429329901,350795.53
ORD_109,2022-09-29,2022,9,3,CUST_650,38,Female,Ahmedabad,West,Wallet,Accessories,3,638.85,0.1,459.02,Credit Card,2263.92,886.86,0.39,September,29,Thursday,2263.92,39.17364571186261,598181.38
ORD_110,2022-06-08,2022,6,2,CUST_1123,24,Female,Ahmedabad,West,Sunglasses,Accessories,4,2979.18,0.08,1899.08,Credit Card,15759.86,8163.54,0.52,June,8,Wednesday,15759.86,51.79957182360757,244406.03
ORD_111,2019-11-22,2019,11,4,CUST_531,57,Female,Hyderabad,South,Cooking Oil,Grocery,3,1857.97,0.19,1201.97,UPI,5643.58,2037.67,0.36,November,22,Friday,5643.58,36.10598237289096,101842.20999999999
ORD_112,2023-09-17,2023,9,3,CUST_490,26,Female,Chennai,South,Sofa,Home & Kitchen,2,12381.14,0.01,8273.96,Credit Card,36036.55,19488.63,0.54,September,17,Sunday,36036.55,54.08017693147651,180155.9
ORD_113,2021-06-19,2021,6,2,CUST_481,32,Female,Chennai,South,Headphones,Electronics,3,41079.64,0.07,26742.08,Debit Card,144984.43,64758.19,0.45,June,19,Saturday,144984.43,44.66561685278895,675123.08
ORD_114,2020-11-18,2020,11,4,CUST_284,60,Male,Bangalore,South,Mixer,Home & Kitchen,1,18708.54,0.22,11878.87,UPI,15504.7,3625.83,0.23,November,18,Wednesday,15504.7,23.385360568085805,73735.54000000001
ORD_115,2020-04-18,2020,4,2,CUST_313,47,Male,Hyderabad,South,Snacks,Grocery,3,1884.23,0.01,1133.22,UPI,3567.55,167.89,0.05,April,18,Saturday,3567.55,4.706030749393841,251708.87999999998
ORD_116,2019-05-12,2019,5,2,CUST_678,26,Male,Ahmedabad,West,Cooking Oil,Grocery,2,856.75,0.04,568.2,Debit Card,1727.21,590.81,0.34,May,12,Sunday,1727.21,34.20603169272989,493377.47
ORD_117,2021-05-01,2021,5,2,CUST_861,36,Male,Kolkata,East,Smartphone,Electronics,2,27223.11,0.06,17466.07,COD,59112.26,24180.12,0.41,May,1,Saturday,59112.26,40.90542300362057,117918.92
ORD_118,2023-04-26,2023,4,2,CUST_41,46,Male,Kolkata,East,Wallet,Accessories,1,3814.86,0.03,2625.7,COD,5180.58,2554.88,0.49,April,26,Wednesday,5180.58,49.316485798887385,347270.22000000003
ORD_119,2021-09-03,2021,9,3,CUST_612,20,Female,Kolkata,East,Headphones,Electronics,3,79337.65,0.04,57573.26,UPI,263908.76,91188.98,0.35,September,3,Friday,263908.76,34.5532221060036,929988.42
ORD_120,2023-10-14,2023,10,4,CUST_1119,26,Female,Hyderabad,South,Snacks,Grocery,1,1669.79,0.29,1223.23,COD,2157.7,934.47,0.43,October,14,Saturday,2157.7,43.308615655559166,196884.9
ORD_121,2021-09-26,2021,9,3,CUST_893,44,Male,Ahmedabad,West,Shoes,Fashion,4,3632.09,0.09,2431.71,Credit Card,15270.03,5543.19,0.36,September,26,Sunday,15270.03,36.301107463443095,375895.08
